"State","Expanded_Adopted","Adult","Pregnant_woman","Children"
"Alabama","Not_Adopted","0","1.41","3.12"
"Alaska","Adopted","1.33","2","2.03"
"Arizona","Adopted","1.33","1.56","2"
"Arkansas","Adopted","1.33","2.09","2.11"
"California","Adopted","1.33","2.08","2.61"
"Colorado","Adopted","1.33","2.6","2.6"
"Connecticut","Adopted","1.33","2.58","3.18"
"Delaware","Adopted","1.33","2.12","2.12"
"District_of_Columbia","Adopted","2.1","3.19","3.19"
"Florida","Not_Adopted","0","1.91","2.1"
"Georgia","Not_Adopted""0","2.2","2.47"
"Hawaii","Adopted","1.33","1.91","3.08"
"Idaho","Considering_Expansion","0","1.33","1.85"
"Illinois","Adopted","1.33","2.08","3.13"
"Indiana","Adopted","1.33","2.08","2.5"
"Iowa","Adopted","1.33","3.75","3.02"
"Kansas","Not_Adopted","0","1.66","2.35"
"Kentucky","Adopted","1.33","1.95","2.13"
"Louisiana","Adopted","1.33","1.33","2.5"
"Maine","Not_Adopted","0","2.09","2.08"
"Maryland","Adopted","1.33","2.59","3.17"
"Massachusetts","Adopted","1.33","2","3"
"Michigan","Adopted","1.33","1.95","2.12"
"Minnesota","Adopted","2","2.78","2.75"
"Mississippi","Not_Adopted","0","1.94","2.09"
"Missouri","Not_Adopted","0","3","3"
"Montana","Adopted","1.33","1.57","2.61"
"Nebraska","Considering_Expansion","0","1.94","2.13"
"Nevada","Adopted","1.33","1.6","2"
"New_Hampshire","Adopted","1.33","1.96","3.18"
"New_Jersey","Adopted","1.33","2","3.5"
"New_Mexico","Adopted","1.33","2.5","2.4"
"New_York","Adopted","2","2.18","4"
"North_Carolina","Not_Adopted","0","1.96","2.11"
"North_Dakota","Adopted","1.33","1.47","1.33"
"Ohio","Adopted","1.33","2","2.06"
"Oklahoma","Not_Adopted","0","1.33","2.05"
"Oregon","Adopted","1.33","1.85","3"
"Pennsylvania","Adopted","1.33","2.15","3.14"
"Rhode_Island","Adopted","1.33","2.53","2.61"
"South_Carolina","Not_Adopted","0","1.94","2.08"
"South_Dakota","Not_Adopted","0","1.33","2.04"
"Tennessee","Not_Adopted","0","1.95","2.5"
"Texas","Not_Adopted","0","1.98","2.01"
"Utah","Considering_Expansion","0","1.39","2"
"Vermont","Adopted","1.33","2.08","3.12"
"Virginia","Not_Adopted","0","2","2"
"Washington","Adopted","1.33","1.93","3.12"
"West_Virginia","Adopted","1.33","1.58","3"
"Wisconsin","Not_Adopted","0","3.01","3.01"
"Wyoming","Not_Adopted","0","1.54","2"
